depth(cm),Cdensity,CumulC,CAccRate
1,0.02035,0.02035,67.83333333
2,0.023983333,0.044333333,82.70114943
3,0.023333333,0.067666667,80.45977011
4,0.025258333,0.092925,87.09770115
5,0.024658333,0.117583333,85.02873563
6,0.0239,0.141483333,59.75
7,0.022183333,0.163666667,55.45833333
8,0.022391667,0.186058333,57.41452991
9,0.019325,0.205383333,48.3125
10,0.019425,0.224808333,48.5625
11,0.019625,0.244433333,38.48039216
12,0.021391667,0.265825,41.13782051
13,0.0294,0.295225,56.53846154
14,0.035475,0.3307,69.55882353
15,0.0363,0.367,69.80769231
16,0.043008333,0.410008333,33.08333333
17,0.046475,0.456483333,35.75
18,0.049891667,0.506375,38.37820513
19,0.061208333,0.567583333,47.44832041
20,0.046441667,0.614025,35.72435897
21,0.039808333,0.653833333,21.40232975
22,0.046858333,0.700691667,25.19265233
23,0.049008333,0.7497,26.34856631
24,0.045358333,0.795058333,24.38620072
25,0.049741667,0.8448,26.59982175
26,0.036008333,0.880808333,15.12955182
27,0.033420833,0.914229167,14.22163121
28,0.041025,0.955254167,17.53205128
29,0.0461,1.001354167,19.7008547
30,0.040258333,1.0416125,17.13120567
31,0.047375,1.0889875,21.05555556
32,0.052716667,1.141704167,23.22320117
33,0.046366667,1.188070833,20.42584435
34,0.045816667,1.2338875,20.09502924
35,0.057366667,1.291254167,25.27165932
36,0.046783333,1.3380375,29.42348008
37,0.047533333,1.385570833,29.16155419
38,0.053325,1.438895833,32.71472393
39,0.045016667,1.4839125,27.96066253
40,0.06425,1.5481625,41.18589744
41,0.056833333,1.604995833,43.71794872
42,0.063216667,1.6682125,49.38802083
43,0.03945,1.7076625,30.8203125
44,0.043583333,1.751245833,33.78552972
45,0.041083333,1.792329167,32.60582011
46,0.043183333,1.8355125,32.96437659
47,0.03815,1.8736625,29.34615385
48,0.049775,1.9234375,37.70833333
49,0.04525,1.9686875,34.54198473
50,0.039833333,2.008520833,29.72636816
51,0.057716667,2.0662375,30.21815009
52,0.060833333,2.127070833,31.68402778
53,0.053416667,2.1804875,27.53436426
54,0.049716667,2.230204167,25.62714777
55,0.0638,2.294004167,33.05699482
56,0.06175,2.355754167,12.39959839
57,0.0597,2.415454167,12.01207243
58,0.0509,2.466354167,10.22088353
59,0.056433333,2.5227875,11.4469236
60,0.058833333,2.581620833,12.03135651
61,0.041733333,2.623354167,7.308814945
62,0.045433333,2.6687875,7.956800934
63,0.04135,2.7101375,7.267135325
64,0.04585,2.7559875,8.029772329
65,0.0485,2.8044875,8.645276292
66,0.050216667,2.854704167,8.643144005
67,0.052016667,2.906720833,8.952954676
68,0.052083333,2.958804167,8.964429145
69,0.050966667,3.009770833,8.802533103
70,0.05175,3.061520833,8.968804159
71,0.059616667,3.1211375,11.57605178
72,0.048933333,3.170070833,9.446589447
73,0.05715,3.227220833,10.88571429
74,0.050533333,3.277754167,9.570707071
75,0.035616667,3.313370833,6.745580808
76,0.034933333,3.348304167,12.7030303
77,0.037883333,3.3861875,13.62709832
78,0.03465,3.4208375,12.50902527
79,0.024783333,3.445620833,9.078144078
80,0.038166667,3.4837875,14.03186275
