depth(cm),Cdensity,CumulC,CAccRate
1,0.0226,0.0226,113
2,0.023416667,0.046016667,117.0833333
3,0.02275,0.068766667,113.75
4,0.023666667,0.092433333,118.3333333
5,0.02325,0.115683333,116.25
6,0.023875,0.139558333,99.47916667
7,0.0245,0.164058333,98
8,0.024691667,0.18875,102.8819444
9,0.027225,0.215975,108.9
10,0.024641667,0.240616667,102.6736111
11,0.023925,0.264541667,72.5
12,0.023241667,0.287783333,68.35784314
13,0.027233333,0.315016667,82.52525253
14,0.02795,0.342966667,82.20588235
15,0.032008333,0.374975,96.99494949
16,0.031975,0.40695,46.34057971
17,0.0359,0.44285,52.02898551
18,0.0315,0.47435,45.65217391
19,0.028658333,0.503008333,41.53381643
20,0.022633333,0.525641667,32.80193237
21,0.022633333,0.548275,39.70760234
22,0.027483333,0.575758333,47.38505747
23,0.02555,0.601308333,44.8245614
24,0.029933333,0.631241667,52.51461988
25,0.022566667,0.653808333,39.59064327
26,0.023933333,0.677741667,23.46405229
27,0.031233333,0.708975,30.92409241
28,0.032416667,0.741391667,32.09570957
29,0.028783333,0.770175,28.21895425
30,0.030283333,0.800458333,29.98349835
31,0.035066667,0.835525,25.78431373
32,0.04085,0.876375,30.71428571
33,0.028583333,0.904958333,21.33084577
34,0.04325,0.948208333,32.2761194
35,0.051033333,0.999241667,38.37092732
36,0.0504,1.049641667,37.6119403
37,0.04065,1.090291667,30.79545455
38,0.057216667,1.147508333,43.02005013
39,0.069266667,1.216775,52.47474747
40,0.055083333,1.271858333,42.7002584
41,0.061766667,1.333625,35.2952381
42,0.067616667,1.401241667,38.63809524
43,0.05085,1.452091667,29.05714286
44,0.053733333,1.505825,30.88122605
45,0.0683,1.574125,39.02857143
46,0.0404,1.614525,16.55737705
47,0.042483333,1.657008333,17.41120219
48,0.042516667,1.699525,17.3537415
49,0.040116667,1.739641667,16.44125683
50,0.0394,1.779041667,16.28099174
51,0.051316667,1.830358333,21.11796982
52,0.0508,1.881158333,20.73469388
53,0.05635,1.937508333,23.0942623
54,0.069233333,2.006741667,28.37431694
55,0.049166667,2.055908333,20.15027322
56,0.0436,2.099508333,17.03125
57,0.063416667,2.162925,24.86928105
58,0.08045,2.243375,30.94230769
59,0.069133333,2.312508333,27.00520833
60,0.054966667,2.367475,21.30490956
61,0.0613,2.428775,24.03921569
62,0.050066667,2.478841667,19.25641026
63,0.0439,2.522741667,16.94980695
64,0.040166667,2.562908333,15.69010417
65,0.041016667,2.603925,16.08496732
66,0.04185,2.645775,16.80722892
67,0.045433333,2.691208333,18.31989247
68,0.042533333,2.733741667,16.94555113
69,0.02975,2.763491667,11.94779116
70,0.039683333,2.803175,15.93708166
71,0.04435,2.847525,17.74
72,0.051816667,2.899341667,20.80990629
73,0.056466667,2.955808333,22.67737617
74,0.056616667,3.012425,22.02983139
75,0.045583333,3.058008333,17.94619423
76,0.044283333,3.102291667,20.22070015
77,0.051216667,3.153508333,23.17496229
78,0.05645,3.209958333,25.77625571
79,0.05125,3.261208333,23.50917431
80,0.0469,3.308108333,21.81395349
