labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),thickness(cm),
210Pb_053,1.0,0.1281,1616.268651,66.19371005,1,2012.52
210Pb_054,2.0,0.1404,1107.649487,45.44740951,1,
210Pb_055,3.0,0.0942,638.5684791,28.25337179,1,
210Pb_056,4.0,0.0839,448.4297258,20.10973414,1,
210Pb_057,5.0,0.0724,135.8851136,7.427948139,1,
210Pb_058,6.0,0.0766,105.9246346,7.006144176,1,
210Pb_059,7.0,0.0967,55.07890528,4.421841241,1,
210Pb_060,8.0,0.0993,64.31143534,4.301914862,1,
210Pb_061,9.0,0.1077,31.01812967,2.266663894,1,
210Pb_062,10.0,0.0956,31.76494139,2.573583354,1,
210Pb_063,12.0,0.0841,18.88938623,0.875190688,1,
210Pb_064,14.0,0.0677,12.78289693,1.519473017,1,
210Pb_065,16.0,0.0600,12.13266582,1.840612071,1,
210Pb_066,18.0,0.0707,15.56200925,2.008463938,1,
210Pb_067,20.0,0.0690,18.82561473,2.088717625,1,
210Pb_068,25.0,0.0650,13.06440775,1.723017574,1,
210Pb_069,30.0,0.0660,9.872152461,1.266309932,1,
210Pb_070,50.0,0.0672,3.95963549,0.896511662,1,
