labID,depth(cm),density(g/cm^3),210Pb(Bq/kg),sd(210Pb),thickness(cm),
210Pb_207,1.0,0.0804,1051.055757,41.53754033,1,2012.52
210Pb_208,3.0,0.0978,860.8089294,37.62261868,1,
210Pb_209,5.0,0.0688,628.1668286,28.73629727,1,
210Pb_210,7.0,0.0738,356.247045,16.42631627,1,
210Pb_211,9.0,0.0681,236.561574,11.4411293,1,
210Pb_212,10.0,0.0643,250.8499557,11.90666633,1,
210Pb_213,12.0,0.0627,201.833883,10.25100968,1,
210Pb_214,14.0,0.0739,160.5157444,8.125535796,1,
210Pb_215,16.0,0.1225,121.1615182,6.188790811,1,
210Pb_216,18.0,0.0994,77.04374165,4.569330696,1,
210Pb_218,20.0,0.1209,31.58256849,2.956624355,1,
210Pb_219,24.5,0.0967,11.11492255,1.641100845,1,
210Pb_220,29.5,0.0879,15.23194582,2.201450696,1,
210Pb_221,39.5,0.0827,2.930221197,0.79020336,1,
210Pb_222,49.5,0.0883,1.419743092,0.53913844,1,
