Corrected core depth (cm),S/Ti,Ti/K,Zr/Fe,Al/Si,Zr/Rb,Si/Ti
146,19510.32102,0.448608283,11.1658738,0.2646114376,0.9539876291,61.29384303
147,22047.15036,0.4583644168,8.177389107,0.2625745457,0.8814797817,64.45738189
148,24798.64453,,4.416158901,0.2558033219,0.6275035292,69.53628141
149,22135.26231,0.4776477777,5.576211918,0.2570415682,0.6987986651,65.54274865
150,22402.62165,0.461769211,4.775723485,0.2585409097,0.6574416047,63.34300293
151,24187.25024,0.4592784308,4.923242963,0.2635255973,0.6817768016,64.6796966
152,21940.59844,0.465442817,6.363919645,0.2591677664,0.7043997338,65.43495956
153,21875.58847,0.4418627302,6.803176853,0.2678698412,0.7078191813,63.43907924
154,21229.41112,0.4514893968,8.276931632,0.2646844548,0.8320212475,62.65454564
155,26630.07181,0.4500543298,4.258573668,0.266086733,0.6156209673,65.44107412
156,25771.95745,0.4522305745,3.10101335,0.2677976192,0.4992023542,66.23223064
157,15101.06,0.3660965047,18.35598273,0.3197837608,1.43897564,51.72365991
158,16570.78864,0.3769958907,26.42979688,0.2670141835,2.037750938,59.1531887
159,13681.81005,0.334528365,11.34397215,0.3080948059,0.8676829064,49.39021865
160,12558.36318,0.2917274064,30.87219278,0.2960823817,1.767057199,50.7913187
161,13806.77011,0.3016220303,54.23635331,0.2853646783,2.904509551,55.42510252
162,15134.13422,0.3343506119,51.90003146,0.2748922746,2.980994057,57.98453057
163,16534.9916,0.375609776,33.30005015,0.2703023702,2.208722785,60.3149879
164,14220.21909,0.3642802224,44.7837395,0.2750322223,2.712496714,52.71931858
165,18647.49118,0.468986649,17.67288075,0.2681905938,1.347691323,64.2373063
166,20351.97966,,12.91771415,0.2539008962,1.048354422,68.43336988
167,20096.71259,0.482208684,6.967177636,0.2570366969,0.8350626318,63.21074024
168,21730.11972,0.4778560266,6.160062712,0.2588655613,0.7990611402,65.46385154
169,18786.12368,0.4588793866,11.64786582,,1.070383523,63.04189124
170,21885.05366,0.4820267457,9.01318758,0.2559974564,1.091545924,69.96357244
171,22188.66235,0.4946996469,4.80454727,0.2528653037,0.6263269481,68.64197504
172,22555.16287,0.4825208985,3.380949997,0.2555401665,0.5773578164,67.94153107
173,21078.24835,0.4653683703,7.663370817,0.2587030745,0.8308308598,65.60498822
174,20779.18002,0.4845110543,7.019119395,0.2571158394,0.8173375096,64.27914253
175,21345.93168,0.4544374375,6.824101132,0.259404639,0.8354724267,62.86808133
176,14621.68047,0.4002851265,19.64011786,0.2780878113,1.360279748,52.22444765
177,18952.75017,0.4512414859,9.055413,0.2644282342,0.8650267922,61.76665916
178,19445.8811,0.4346605852,8.719445864,0.2685954627,0.9201074268,54.26160708
179,15895.23389,0.3461724517,31.45544749,0.2850814827,2.252289526,57.12894112
180,19839.408,0.4277901596,11.33648374,0.2661386307,1.195104998,62.50594119
181,21698.53205,0.4616747173,5.285807794,0.2619980189,0.6630913765,65.92076617
182,27228.64362,0.4728835159,2.278078621,0.2608432337,0.4047569501,67.37663055
183,23418.02595,0.4491825358,5.221996731,0.2606284136,0.7169618509,62.39498484
184,22894.70697,0.4283377059,3.130939793,0.2673665495,0.4900948285,60.08710295
185,15095.47318,0.3432570473,24.40485616,0.3043120284,1.708074658,52.91882025
186,16048.73406,0.3506187526,35.23197076,0.3010138467,2.274325277,56.47555091
187,17491.79838,0.3787516943,24.95428362,0.2741056667,1.81173958,60.86886856
188,17180.59787,0.3885957259,11.17232738,0.2791853683,0.9533626372,56.80714952
189,19033.73142,0.4152132833,4.828245057,0.2635926696,0.4707784078,60.80698988
190,15869.48564,0.3555146301,18.9240378,0.2788556632,1.359768845,57.66414976
191,20899.06791,0.4710253444,1.641429647,0.2508422669,0.1849923724,68.80612088
192,23880.50925,0.4806747876,1.863154656,,,70.71217077
193,26803.45274,0.4738952274,2.249610877,0.2546997224,0.2877578252,69.53749991
194,25371.03532,0.4726227521,1.280672641,0.2483552446,0.1487878354,70.23217037
195,21509.68381,0.4076482408,11.07126077,0.2710452175,1.080520283,58.92058159
196,28623.01796,0.4684562889,4.056262434,0.260549936,0.4637254909,68.88027045
197,25094.25606,0.4274896814,4.688533459,0.271817737,0.5693175659,64.42466915
198,36916.27817,0.4711709246,2.991987142,0.2628184424,0.4412957341,67.71262844
199,35287.07031,0.4633525685,2.171253816,0.2613909724,0.339884733,67.8287274
200,24040.97777,0.4082923825,8.389055303,0.2751419677,0.8986114306,57.24284428
201,31562.62582,0.4795096546,3.163716432,0.2560798986,0.4081520667,69.97146032
202,28394.59066,0.4778789697,1.941358107,0.2527792923,,71.66596489
203,27302.71671,0.4442739235,8.694108416,0.2593033709,0.87102475,68.98630898
204,33341.33917,0.4734688612,2.851149897,0.257843937,0.4119061278,69.64196351
205,32502.86707,,2.490298829,0.2520260853,,72.48056942
206,31838.4991,0.4483820273,1.212499259,0.2589574307,0.191889115,68.47087401
207,30526.05068,0.4493145915,1.836434442,0.2576979068,0.2583254424,67.18389827
208,26884.53183,0.3907207917,5.501941028,0.2793935514,0.594653958,58.44606203
209,28221.13302,0.4523285488,3.361534055,0.256989536,,69.60211947
210,29297.55726,0.4784300625,1.634529056,0.251535958,0.2204655315,71.48616982
211,26441.04168,0.4672929541,2.547835467,0.2522956125,0.3141822176,69.21205765
212,23906.04452,0.4520883828,7.04264881,0.2589311138,0.6353988403,68.26988359
213,25533.51201,0.4664418838,9.626645372,,0.8194027985,70.97811784
214,24593.55759,0.474247897,7.487290404,,0.626338555,71.32055003
215,23809.81961,0.4702880672,5.154606373,0.2489340271,0.4909762383,70.00531295
216,32709.2217,0.4448400295,13.92138641,0.2783105853,1.225987586,60.15492694
217,27954.69944,0.3455686556,10.20248213,0.3141985395,1.078417671,61.28614416
218,41703.81296,0.4307167658,10.90053262,0.2762845565,1.134503076,66.05210231
219,43992.60578,0.450222202,6.644249535,0.2714534439,0.7595686743,66.59836155
220,43409.00894,0.3932323433,5.938406608,0.2831659256,0.7394241159,64.7300708
221,39139.27977,0.4120326034,4.675959759,0.2863606609,0.5708732023,62.94928126
222,26199.87858,0.3509601181,8.643051906,0.3226783509,0.8389130383,55.32793511
223,22731.01605,0.3214418208,27.03568829,0.3257776092,1.719752978,53.4536847
224,25015.79001,0.3419375605,33.54521685,0.3056347074,2.132375389,56.75007722
225,28636.41737,0.3361324059,32.90314729,0.3031440357,1.926633379,59.01254452
226,22359.86723,0.2947057664,47.01773526,0.296062962,2.313074887,54.67048505
227,18162.31046,0.3161030727,30.47699423,0.3473550121,1.786415918,50.16494097
228,27015.07014,0.4114561869,8.920204983,0.2759498092,0.785700707,62.79251824
228.5,40715.80469,0.3724144109,13.54702746,0.2920637077,1.090232528,58.21222932
229.5,38779.55917,0.4576842489,10.59593323,0.2717062974,0.970162013,65.4145628
230.5,35462.77205,0.4032946565,11.56582058,0.3050064555,1.047522987,59.40180843
231.5,29694.23271,0.3399816764,28.09592618,0.3465979465,1.998880349,56.21117381
232.5,34802.76204,0.3848125605,13.20653923,0.2909814414,1.162662587,61.69586131
233.5,40092.39346,0.4232300898,9.586851937,0.2792482292,0.918257442,63.57412147
234.5,27897.67315,0.3886410818,14.02362597,0.3226514919,1.078668592,58.44132847
235.5,35879.0483,0.4355580904,10.90484547,0.273858179,0.962079629,63.99486752
236.5,37493.99297,0.4658114992,10.34948847,0.2595874149,0.9356018283,67.00817568
237.5,29511.13659,0.4465298777,18.19785857,0.2635149336,1.562737938,63.35953951
238.5,35846.81151,0.4478014497,9.74012493,0.2719391025,0.9528912566,64.31851591
239.5,36714.94639,0.4402105975,7.560162377,0.2838730261,0.9182309786,59.83486251
240.5,17171.95785,0.305891125,28.94711794,0.3590322883,1.738270512,47.91328864
241.5,22203.67314,0.3555991096,42.98587517,0.2995117152,2.630889193,55.79501087
242.5,24317.11028,0.3766965375,42.32893271,0.2820410737,2.522549407,58.0024195
243.5,27250.94662,0.3695495134,47.11571537,0.2744158306,2.751971947,59.62288721
